{'cpu': 15.4, 'memory': 61.6, 'disk': 10.8}
{'cpu': 9.9, 'memory': 61.4, 'disk': 10.8}
{'cpu': 8.0, 'memory': 61.6, 'disk': 10.8}
{'cpu': 8.5, 'memory': 61.3, 'disk': 10.8}
{'cpu': 7.9, 'memory': 61.6, 'disk': 10.8}
{'cpu': 7.4, 'memory': 61.5, 'disk': 10.8}
{'cpu': 9.1, 'memory': 61.5, 'disk': 10.8}
{'cpu': 7.6, 'memory': 61.6, 'disk': 10.8}
{'cpu': 13.5, 'memory': 61.9, 'disk': 10.8}
{'cpu': 16.3, 'memory': 61.9, 'disk': 10.8}
{'cpu': 12.7, 'memory': 61.8, 'disk': 10.8}
{'cpu': 17.0, 'memory': 61.8, 'disk': 10.8}
{'cpu': 13.3, 'memory': 61.9, 'disk': 10.8}
{'cpu': 11.6, 'memory': 61.7, 'disk': 10.8}
{'cpu': 10.6, 'memory': 61.8, 'disk': 10.8}
{'cpu': 18.1, 'memory': 62.9, 'disk': 10.8}
{'cpu': 19.2, 'memory': 62.5, 'disk': 10.8}
{'cpu': 10.4, 'memory': 61.9, 'disk': 10.8}
{'cpu': 20.3, 'memory': 63.5, 'disk': 10.8}
{'cpu': 12.3, 'memory': 62.7, 'disk': 10.8}
{'cpu': 9.8, 'memory': 62.6, 'disk': 10.8}
{'cpu': 9.6, 'memory': 62.1, 'disk': 10.8}
{'cpu': 14.6, 'memory': 62.4, 'disk': 10.8}
{'cpu': 20.2, 'memory': 62.3, 'disk': 10.8}
{'cpu': 11.4, 'memory': 61.0, 'disk': 10.8}
{'cpu': 19.1, 'memory': 61.3, 'disk': 10.8}
{'cpu': 16.7, 'memory': 60.8, 'disk': 10.8}
{'cpu': 15.8, 'memory': 60.7, 'disk': 10.8}
{'cpu': 10.0, 'memory': 60.6, 'disk': 10.8}
{'cpu': 8.0, 'memory': 60.6, 'disk': 10.8}
{'cpu': 8.1, 'memory': 60.5, 'disk': 10.8}
{'cpu': 9.5, 'memory': 60.4, 'disk': 10.8}
{'cpu': 11.4, 'memory': 60.5, 'disk': 10.8}
{'cpu': 10.0, 'memory': 60.5, 'disk': 10.8}
{'cpu': 7.7, 'memory': 60.4, 'disk': 10.8}
{'cpu': 10.7, 'memory': 60.4, 'disk': 10.8}
{'cpu': 8.5, 'memory': 60.4, 'disk': 10.8}
{'cpu': 15.3, 'memory': 62.4, 'disk': 10.8}
{'cpu': 13.1, 'memory': 62.4, 'disk': 10.8}
{'cpu': 13.5, 'memory': 62.3, 'disk': 10.8}
{'cpu': 12.6, 'memory': 62.3, 'disk': 10.8}
{'cpu': 12.9, 'memory': 62.3, 'disk': 10.8}
{'cpu': 12.5, 'memory': 62.2, 'disk': 10.8}
{'cpu': 12.5, 'memory': 62.3, 'disk': 10.8}
{'cpu': 12.1, 'memory': 62.3, 'disk': 10.8}
{'cpu': 13.8, 'memory': 62.3, 'disk': 10.8}
{'cpu': 12.6, 'memory': 62.2, 'disk': 10.8}
{'cpu': 17.5, 'memory': 62.3, 'disk': 10.8}
{'cpu': 12.8, 'memory': 62.3, 'disk': 10.8}
{'cpu': 15.3, 'memory': 62.3, 'disk': 10.8}
{'cpu': 12.8, 'memory': 62.3, 'disk': 10.8}
{'cpu': 22.3, 'memory': 62.3, 'disk': 10.8}
{'cpu': 12.5, 'memory': 62.3, 'disk': 10.8}
{'cpu': 12.7, 'memory': 62.2, 'disk': 10.8}
{'cpu': 12.2, 'memory': 62.2, 'disk': 10.8}
{'cpu': 12.0, 'memory': 62.2, 'disk': 10.8}
{'cpu': 11.5, 'memory': 62.2, 'disk': 10.8}
{'cpu': 15.7, 'memory': 62.3, 'disk': 10.8}
{'cpu': 13.2, 'memory': 62.3, 'disk': 10.8}
{'cpu': 14.2, 'memory': 62.3, 'disk': 10.8}
{'cpu': 11.6, 'memory': 62.2, 'disk': 10.8}
{'cpu': 11.7, 'memory': 62.2, 'disk': 10.8}
{'cpu': 11.8, 'memory': 62.2, 'disk': 10.8}
{'cpu': 12.6, 'memory': 62.2, 'disk': 10.8}
{'cpu': 12.8, 'memory': 62.2, 'disk': 10.8}
{'cpu': 14.0, 'memory': 62.2, 'disk': 10.8}
{'cpu': 11.9, 'memory': 62.2, 'disk': 10.8}
{'cpu': 12.3, 'memory': 62.2, 'disk': 10.8}
{'cpu': 14.4, 'memory': 62.2, 'disk': 10.8}
{'cpu': 12.7, 'memory': 62.2, 'disk': 10.8}
{'cpu': 13.7, 'memory': 62.3, 'disk': 10.8}
{'cpu': 13.8, 'memory': 62.2, 'disk': 10.8}
{'cpu': 12.0, 'memory': 62.2, 'disk': 10.8}
{'cpu': 12.0, 'memory': 62.2, 'disk': 10.8}
{'cpu': 11.6, 'memory': 62.2, 'disk': 10.8}
{'cpu': 12.9, 'memory': 62.2, 'disk': 10.8}
{'cpu': 20.9, 'memory': 63.6, 'disk': 10.8}
{'cpu': 24.9, 'memory': 60.7, 'disk': 10.8}
{'cpu': 29.5, 'memory': 60.7, 'disk': 10.8}
{'cpu': 17.3, 'memory': 60.9, 'disk': 10.8}
{'cpu': 15.1, 'memory': 60.9, 'disk': 10.8}
{'cpu': 15.2, 'memory': 60.7, 'disk': 10.8}
{'cpu': 16.3, 'memory': 60.8, 'disk': 10.8}
{'cpu': 17.2, 'memory': 60.7, 'disk': 10.8}
{'cpu': 20.1, 'memory': 60.8, 'disk': 10.8}
{'cpu': 19.9, 'memory': 60.8, 'disk': 10.8}
{'cpu': 10.8, 'memory': 60.8, 'disk': 10.8}
{'cpu': 19.2, 'memory': 61.3, 'disk': 10.8}
{'cpu': 16.8, 'memory': 61.1, 'disk': 10.8}
{'cpu': 12.3, 'memory': 60.9, 'disk': 10.8}
{'cpu': 12.5, 'memory': 61.1, 'disk': 10.8}
{'cpu': 14.8, 'memory': 61.2, 'disk': 10.8}
{'cpu': 12.4, 'memory': 61.1, 'disk': 10.8}
{'cpu': 12.9, 'memory': 61.0, 'disk': 10.8}
{'cpu': 10.0, 'memory': 60.7, 'disk': 10.8}
{'cpu': 10.2, 'memory': 60.9, 'disk': 10.8}
{'cpu': 16.1, 'memory': 61.2, 'disk': 10.8}
{'cpu': 11.3, 'memory': 60.9, 'disk': 10.8}
{'cpu': 13.8, 'memory': 61.0, 'disk': 10.8}
{'cpu': 21.4, 'memory': 60.9, 'disk': 10.8}
{'cpu': 11.9, 'memory': 60.7, 'disk': 10.8}
{'cpu': 12.5, 'memory': 60.9, 'disk': 10.8}
{'cpu': 15.6, 'memory': 60.9, 'disk': 10.8}
{'cpu': 25.3, 'memory': 62.6, 'disk': 10.8}
{'cpu': 22.7, 'memory': 62.7, 'disk': 10.8}
{'cpu': 17.8, 'memory': 61.6, 'disk': 10.8}
{'cpu': 17.7, 'memory': 61.4, 'disk': 10.8}
{'cpu': 20.1, 'memory': 61.5, 'disk': 10.8}
{'cpu': 15.2, 'memory': 61.5, 'disk': 10.8}
{'cpu': 12.3, 'memory': 61.4, 'disk': 10.8}
{'cpu': 13.6, 'memory': 61.3, 'disk': 10.8}
{'cpu': 11.7, 'memory': 60.9, 'disk': 10.8}
{'cpu': 14.7, 'memory': 61.4, 'disk': 10.8}
{'cpu': 17.0, 'memory': 61.6, 'disk': 10.8}
